customer_id,age,gender,tenure_months,account_type,total_purchases,avg_purchase_value,days_since_last_purchase,website_visits_per_month,email_open_rate,customer_service_calls,satisfaction_score,promo_codes_used,loyalty_points,churned
CUST00048,35,Female,35,Standard,141,39.78,117,12,0.086,3,1,1,1787,0
CUST00049,21,Female,20,Basic,89,69.06,164,8,0.0,2,2,2,1990,1
CUST00050,42,Female,10,Basic,18,137.04,32,6,0.211,2,2,3,4317,0
CUST00051,31,Female,25,Basic,115,20.05,28,8,0.427,2,2,1,2460,1
CUST00052,67,Male,66,Standard,145,43.46,77,8,0.081,5,3,9,2631,0
CUST00053,26,Female,25,Standard,143,119.92,1,7,0.355,3,5,8,2268,0
CUST00054,43,Male,54,Basic,106,130.73,56,9,0.107,2,2,4,2176,0
CUST00055,19,Male,33,Standard,15,71.9,35,9,0.266,3,3,6,876,0
CUST00056,37,Male,36,Premium,63,37.83,112,6,0.356,4,1,8,3492,0
CUST00057,45,Female,14,Standard,13,137.88,30,5,0.151,3,1,4,4258,1
CUST00058,64,Male,65,Premium,81,122.83,54,7,0.276,1,3,5,954,0
CUST00059,24,Male,54,Standard,32,95.37,36,8,0.188,0,1,3,4119,0
CUST00060,61,Female,52,Standard,137,50.63,80,8,0.356,7,4,7,4288,0
CUST00061,25,Male,3,Standard,40,73.53,58,7,0.285,2,1,0,877,0
CUST00062,64,Female,41,Standard,148,70.19,83,8,0.258,4,4,0,4485,0
CUST00063,52,Male,6,Basic,82,84.93,65,5,0.484,0,3,4,2544,0
CUST00064,31,Female,25,Basic,77,118.53,69,12,0.349,1,4,9,2176,0
CUST00065,34,Female,13,Basic,76,101.38,128,7,0.146,2,1,8,2600,0
CUST00066,53,Male,8,Standard,38,42.68,51,10,0.237,1,2,1,3107,0
CUST00067,67,Male,21,Basic,71,116.29,22,5,0.239,0,4,2,3528,1
CUST00068,57,Male,68,Premium,48,84.39,107,8,0.262,1,1,7,2408,0
CUST00069,21,Male,25,Standard,18,95.61,109,6,0.629,1,2,4,4860,0
CUST00070,19,Female,68,Standard,144,119.0,116,6,0.306,0,3,2,1973,0
CUST00071,23,Male,45,Basic,39,41.65,101,11,0.0,2,3,5,3948,0
CUST00072,59,Female,60,Premium,89,73.93,100,10,0.169,3,5,5,1238,0
CUST00073,21,Male,12,Premium,62,59.06,164,9,0.0,2,3,4,2334,0
CUST00074,46,Female,32,Standard,141,27.96,68,9,0.201,8,5,4,767,0
CUST00075,35,Female,13,Basic,109,85.4,36,9,0.0,1,3,5,2416,0
CUST00076,43,Female,31,Standard,81,150.35,178,5,0.119,1,3,1,4994,0
CUST00077,61,Male,20,Basic,134,19.8,169,11,0.022,5,3,5,3545,0
CUST00078,51,Male,18,Basic,77,74.03,146,7,0.308,2,5,1,2309,0
CUST00079,27,Male,60,Standard,90,94.22,22,6,0.25,1,5,2,4883,0
CUST00080,53,Female,63,Standard,14,78.69,66,5,0.295,2,4,1,4206,0
CUST00081,31,Female,6,Standard,95,71.61,21,10,0.234,2,1,0,4236,0
CUST00082,48,Female,32,Premium,54,36.02,100,8,0.041,3,1,0,744,0
CUST00083,65,Male,43,Standard,132,81.98,128,10,0.327,3,1,8,2582,0
CUST00084,32,Female,2,Standard,39,52.3,44,9,0.538,1,3,3,4174,0
CUST00085,25,Female,60,Basic,72,10.0,103,10,0.311,1,1,4,1517,0
CUST00086,31,Male,23,Premium,25,110.84,47,9,0.186,4,5,9,2556,0
CUST00087,40,Male,31,Basic,77,103.75,39,9,0.036,3,4,6,4161,0
CUST00088,57,Female,5,Premium,120,76.55,29,11,0.114,2,2,1,3983,0
CUST00089,38,Female,34,Premium,53,81.87,54,10,0.318,3,4,9,1394,0
CUST00090,33,Female,10,Basic,131,107.23,90,7,0.411,3,1,8,286,0
CUST00091,62,Male,2,Standard,96,81.73,85,9,0.289,1,1,3,3247,1
CUST00092,35,Female,11,Premium,72,102.12,17,9,0.37,3,5,9,4218,0
CUST00093,64,Male,50,Standard,62,66.08,80,2,0.356,0,4,9,2602,0
CUST00094,41,Male,31,Premium,6,114.36,159,11,0.326,1,5,0,3,1
CUST00095,43,Male,56,Premium,32,84.62,73,9,0.151,3,5,7,411,0
CUST00096,42,Female,9,Standard,99,80.82,49,5,0.276,0,2,3,4345,0
CUST00097,62,Female,21,Basic,138,36.9,101,2,0.123,2,5,6,3727,1
CUST00098,58,Female,28,Premium,131,83.61,2,6,0.253,3,5,2,1917,0
CUST00099,46,Male,62,Standard,76,50.04,176,6,0.3,4,2,8,1356,0
CUST00100,32,Female,7,Basic,59,55.85,142,6,0.502,1,3,4,157,0
CUST00101,62,Male,16,Basic,31,50.54,59,8,0.054,3,3,4,1600,0
CUST00102,18,Female,4,Standard,93,43.01,97,7,0.322,0,2,2,2884,0
CUST00103,42,Male,4,Premium,69,138.74,99,7,0.472,1,5,8,3489,0
CUST00104,24,Male,40,Premium,52,114.94,103,6,0.364,1,1,2,2382,0
CUST00105,26,Male,17,Standard,89,132.61,179,8,0.375,3,4,1,152,1
CUST00106,41,Male,52,Basic,127,38.31,2,9,0.338,2,1,8,1629,0
CUST00107,18,Female,52,Basic,31,77.14,41,8,0.445,0,1,8,2796,1
CUST00108,61,Female,36,Premium,84,36.19,123,7,0.087,2,5,9,2881,0
CUST00109,25,Male,38,Basic,127,54.13,82,12,0.042,2,4,3,3802,0
CUST00110,41,Female,50,Basic,132,47.46,144,8,0.249,4,4,3,2805,1
CUST00111,28,Male,63,Basic,13,112.19,132,6,0.0,3,3,9,4080,0
CUST00112,68,Female,63,Standard,45,63.11,140,9,0.435,5,2,5,3470,0
CUST00113,34,Female,62,Premium,127,107.05,29,7,0.433,2,5,8,1055,0
CUST00114,25,Female,7,Basic,114,93.12,135,8,0.185,4,4,7,2579,0
CUST00115,52,Male,27,Standard,20,144.11,14,9,0.194,3,5,9,4148,1
CUST00116,52,Female,14,Standard,81,30.62,12,7,0.239,5,3,2,2765,0
CUST00117,50,Female,71,Premium,129,112.78,99,7,0.258,0,1,5,1328,1
CUST00118,22,Male,5,Basic,143,109.39,133,6,0.269,1,4,6,4044,0
CUST00119,59,Male,55,Standard,17,45.8,81,7,0.334,2,3,5,2392,0
CUST00120,56,Female,2,Basic,58,105.21,106,10,0.224,2,5,2,3153,0
CUST00121,58,Female,62,Premium,72,85.08,32,10,0.391,1,3,8,0,0
CUST00122,45,Female,21,Standard,109,68.18,74,7,0.317,3,3,3,166,0
CUST00123,24,Female,21,Basic,23,50.28,171,10,0.159,6,3,1,3254,0
CUST00124,26,Female,10,Standard,72,53.43,81,6,0.45,5,3,8,1885,0
CUST00125,25,Male,58,Standard,8,136.49,69,8,0.046,0,3,2,4368,0
CUST00126,29,Male,39,Basic,59,75.02,45,7,0.236,2,3,5,899,0
CUST00127,51,Male,5,Premium,111,98.46,106,7,0.395,0,2,4,2248,0
CUST00128,50,Female,65,Basic,13,51.27,137,8,0.142,3,5,1,3263,0
CUST00129,65,Male,13,Standard,16,51.6,177,9,0.296,1,1,0,3412,0
CUST00130,40,Female,53,Standard,119,107.46,161,9,0.332,4,5,8,3577,0
CUST00131,41,Female,45,Standard,2,34.51,100,10,0.121,2,4,2,2187,0
CUST00132,54,Female,32,Basic,145,62.54,146,7,0.239,3,4,6,1219,0
CUST00133,52,Male,36,Premium,30,76.02,9,4,0.227,0,5,8,3132,0
CUST00134,61,Female,60,Standard,103,78.34,62,6,0.167,2,3,8,359,0
CUST00135,57,Male,11,Standard,13,69.63,29,7,0.595,2,2,9,2039,0
CUST00136,39,Female,63,Standard,96,86.87,125,6,0.136,1,1,5,3937,1
CUST00137,44,Male,21,Standard,94,95.79,114,10,0.401,4,3,7,3154,0
CUST00138,52,Male,52,Basic,82,97.04,153,7,0.191,1,5,8,333,0
CUST00139,18,Female,55,Basic,13,45.43,143,15,0.087,1,5,2,730,0
CUST00140,52,Male,26,Premium,94,66.48,134,5,0.265,1,2,5,1497,1
CUST00141,54,Male,68,Basic,149,110.84,120,5,0.347,3,2,4,1417,0
CUST00142,64,Female,34,Standard,112,101.84,170,6,0.388,2,5,6,3763,0
CUST00143,31,Female,52,Premium,55,33.81,157,8,0.484,0,3,6,1743,0
CUST00144,20,Female,52,Basic,81,85.54,79,13,0.692,6,3,8,4116,0
CUST00145,18,Female,29,Standard,116,15.65,93,8,0.288,2,3,0,1973,0
CUST00146,22,Female,38,Standard,143,76.41,4,6,0.151,1,1,5,878,0
CUST00147,43,Male,42,Standard,108,131.93,82,13,0.318,1,1,4,4272,0
CUST00148,31,Male,21,Basic,53,46.56,177,5,0.21,4,3,3,2884,0
CUST00149,56,Male,42,Basic,128,49.97,172,7,0.389,4,5,9,3007,1
CUST00150,44,Female,13,Standard,57,97.92,75,6,0.055,2,2,0,2595,0
CUST00151,26,Female,64,Premium,52,28.72,14,6,0.605,5,4,3,2297,1
CUST00152,32,Male,17,Standard,137,56.02,131,7,0.378,1,2,9,660,0
CUST00153,32,Male,9,Standard,111,92.89,114,8,0.0,0,2,6,3144,0
CUST00154,43,Female,41,Basic,1,55.97,62,6,0.144,4,4,3,3162,0
CUST00155,59,Male,1,Standard,44,67.92,106,9,0.372,7,3,0,4221,0
CUST00156,30,Female,2,Basic,75,97.33,64,7,0.426,3,2,9,3985,1
CUST00157,68,Female,60,Premium,98,87.65,102,6,0.059,2,4,0,1269,1
CUST00158,49,Female,48,Premium,9,83.0,173,6,0.357,1,5,0,4706,0
CUST00159,56,Male,29,Standard,32,64.83,106,6,0.0,2,5,9,1294,0
CUST00160,66,Female,10,Premium,15,86.1,20,5,0.237,1,5,4,1009,1
CUST00161,69,Female,58,Basic,140,71.29,58,7,0.417,1,3,6,2091,0
CUST00162,49,Female,60,Standard,136,88.73,112,4,0.167,3,2,8,1757,0
CUST00163,21,Female,21,Basic,72,60.09,57,12,0.024,3,2,7,1964,0
CUST00164,47,Female,28,Premium,12,69.52,119,6,0.272,6,1,1,4643,0
CUST00165,54,Female,34,Basic,65,45.3,97,10,0.159,3,5,8,1191,0
CUST00166,40,Male,8,Standard,107,73.95,92,4,0.344,1,3,3,1053,1
CUST00167,56,Female,59,Premium,42,50.67,52,8,0.117,4,4,9,2841,1
CUST00168,62,Female,49,Basic,115,41.58,37,2,0.134,3,3,4,2404,1
CUST00169,32,Male,17,Basic,139,82.76,8,6,0.0,2,2,4,3562,1
CUST00170,60,Female,60,Standard,103,81.38,44,9,0.275,7,5,3,3704,0
CUST00171,46,Female,45,Standard,95,98.49,98,6,0.226,1,1,5,1822,0
CUST00172,53,Female,69,Basic,17,62.07,133,10,0.072,0,3,0,1271,0
CUST00173,30,Male,32,Basic,85,87.24,118,6,0.279,1,1,1,1719,0
CUST00174,49,Male,44,Basic,56,91.52,69,8,0.404,2,2,3,252,1
CUST00175,24,Female,65,Premium,134,88.34,159,3,0.218,5,4,3,2768,1
CUST00176,68,Female,8,Standard,86,50.23,45,5,0.29,1,3,7,1559,0
CUST00177,39,Male,43,Basic,102,79.48,137,11,0.291,2,2,8,736,1
CUST00178,45,Female,1,Basic,54,85.92,32,9,0.069,1,5,3,4995,0
CUST00179,19,Female,51,Basic,115,75.22,33,7,0.558,2,3,5,1928,0
CUST00180,59,Female,24,Basic,139,12.41,126,8,0.179,1,1,3,2190,0
CUST00181,62,Female,24,Standard,88,79.81,67,4,0.348,0,3,3,1002,0
CUST00182,23,Male,17,Basic,49,141.38,30,12,0.365,1,2,8,2985,1
CUST00183,45,Male,5,Basic,149,64.2,114,11,0.229,4,2,3,1922,0
CUST00184,45,Male,20,Standard,115,53.16,29,6,0.341,0,1,5,3752,0
CUST00185,61,Female,21,Basic,63,86.2,131,9,0.287,2,2,8,4137,0
CUST00186,61,Male,58,Standard,104,84.37,30,14,0.037,3,3,2,3702,0
CUST00187,37,Male,31,Standard,83,110.78,137,8,0.2,1,1,6,3192,1
CUST00188,47,Male,11,Standard,103,37.26,154,8,0.158,2,2,6,3834,0
CUST00189,28,Female,52,Standard,17,96.94,130,6,0.181,3,2,0,4438,0
CUST00190,45,Female,15,Standard,6,92.71,62,8,0.054,4,3,1,4427,0
CUST00191,42,Male,7,Premium,147,70.74,3,6,0.419,3,2,4,3527,0
CUST00192,56,Male,28,Standard,28,85.16,174,11,0.49,5,3,7,340,1
CUST00193,50,Female,51,Standard,38,105.88,68,5,0.397,1,5,5,2388,1
CUST00194,18,Male,58,Premium,119,101.17,25,12,0.441,2,3,6,3487,0
CUST00195,44,Male,5,Standard,37,40.71,179,9,0.198,2,4,2,1700,0
CUST00196,69,Male,5,Basic,115,99.6,141,11,0.155,2,2,5,1233,0
CUST00197,30,Male,8,Basic,68,73.06,44,6,0.133,3,5,8,2570,0
CUST00198,58,Male,64,Basic,43,77.19,163,9,0.347,2,1,2,2298,0
CUST00199,20,Female,10,Premium,58,77.2,55,9,0.284,2,4,5,137,0
CUST00200,56,Male,38,Standard,13,70.49,137,9,0.238,5,1,6,2798,0
CUST00201,23,Female,8,Premium,52,110.75,130,9,0.444,2,4,4,2930,0
CUST00202,25,Male,25,Standard,58,72.49,41,7,0.311,2,5,9,3920,1
CUST00203,44,Female,66,Standard,32,41.41,172,5,0.124,3,5,7,4182,0
CUST00204,26,Female,50,Basic,105,63.19,64,2,0.148,1,5,7,1833,0
CUST00205,54,Male,67,Standard,83,80.36,31,9,0.352,3,4,5,2139,1
CUST00206,50,Female,49,Standard,99,111.88,47,6,0.406,1,3,6,207,0
CUST00207,68,Male,36,Premium,104,93.09,130,7,0.333,2,1,2,2233,0
CUST00208,59,Female,68,Basic,28,49.48,96,4,0.535,2,3,6,1850,0
CUST00209,61,Male,41,Standard,129,149.56,77,9,0.495,2,3,6,1687,0
CUST00210,41,Male,62,Standard,48,82.94,110,8,0.316,2,2,3,2203,0
CUST00211,32,Male,10,Standard,40,113.26,69,10,0.124,5,1,9,2208,0
CUST00212,49,Female,21,Standard,97,70.45,58,9,0.054,3,4,3,850,0
CUST00213,49,Female,36,Standard,114,91.0,106,9,0.192,0,2,2,2203,1
CUST00214,41,Female,12,Basic,132,100.18,44,2,0.363,1,2,9,3690,0
CUST00215,58,Male,2,Standard,137,111.55,74,6,0.524,1,5,6,3355,0
CUST00216,69,Female,13,Standard,111,106.72,56,7,0.313,0,4,4,2609,0
CUST00217,66,Male,53,Premium,144,101.17,171,7,0.425,2,3,2,223,1
CUST00218,66,Female,32,Premium,76,65.55,127,9,0.213,4,3,5,3774,0
CUST00219,69,Male,16,Basic,31,57.85,162,6,0.343,3,3,5,1411,0
CUST00220,29,Male,32,Basic,119,84.98,30,6,0.374,0,5,5,4392,0
CUST00221,56,Male,32,Premium,142,102.99,71,10,0.0,1,3,1,322,0
CUST00222,19,Male,11,Standard,25,68.32,118,10,0.188,3,1,9,1511,1
CUST00223,20,Female,10,Premium,34,106.96,55,12,0.392,3,3,6,2086,0
CUST00224,66,Male,15,Basic,67,118.58,67,8,0.291,2,3,6,4600,0
CUST00225,54,Female,17,Standard,118,47.51,141,5,0.071,1,1,9,2287,0
CUST00226,66,Male,40,Premium,73,49.89,3,8,0.0,1,5,3,686,0
CUST00227,34,Female,18,Premium,26,70.79,26,8,0.195,0,2,5,2017,0
CUST00228,66,Male,55,Basic,148,84.23,57,8,0.239,3,4,3,1468,0
CUST00229,19,Male,25,Standard,104,59.26,126,14,0.117,2,5,3,3923,0
CUST00230,19,Female,59,Standard,10,115.57,152,2,0.271,2,3,5,4835,0
CUST00231,45,Male,22,Basic,67,87.72,53,7,0.326,3,2,8,996,1
CUST00232,40,Male,30,Standard,5,76.18,43,7,0.351,1,4,6,2534,0
CUST00233,54,Female,44,Standard,27,31.92,49,5,0.0,1,4,1,2812,0
CUST00234,49,Female,32,Premium,113,35.53,42,7,0.053,3,4,5,622,0
CUST00235,50,Male,51,Standard,15,83.43,11,8,0.204,3,1,4,3824,1
CUST00236,18,Male,46,Basic,105,11.02,103,8,0.336,3,1,5,2783,0
CUST00237,36,Female,21,Basic,44,105.38,98,12,0.323,1,2,7,4393,0
CUST00238,19,Male,32,Standard,26,70.26,146,4,0.321,0,3,7,1075,0
CUST00239,61,Male,39,Basic,95,172.29,85,6,0.192,3,2,2,303,0
CUST00240,43,Male,12,Standard,84,144.24,100,8,0.201,2,3,8,663,1
CUST00241,49,Female,47,Basic,140,69.56,104,9,0.141,2,5,5,2946,0
CUST00242,23,Female,18,Premium,132,71.81,46,6,0.365,3,4,6,3994,0
CUST00243,49,Male,21,Premium,87,104.87,44,11,0.112,2,4,8,1992,0
CUST00244,21,Male,13,Standard,112,126.1,22,6,0.378,6,1,6,3495,0
CUST00245,28,Male,21,Premium,129,25.86,114,9,0.281,1,5,9,2694,0
CUST00246,34,Female,8,Standard,89,21.41,125,12,0.243,3,5,8,4304,0
CUST00247,55,Male,46,Standard,66,56.34,124,7,0.151,3,3,0,3198,0
CUST00248,41,Male,7,Basic,131,92.48,30,14,0.047,1,5,0,518,0
CUST00249,22,Female,23,Standard,122,89.91,8,6,0.153,1,1,2,4433,0
CUST00250,69,Male,22,Standard,149,107.09,98,9,0.2,1,3,8,1869,0
CUST00251,51,Female,22,Premium,84,39.01,57,8,0.0,1,2,0,3810,0
CUST00252,23,Male,29,Standard,116,10.0,111,10,0.22,3,3,0,912,1
CUST00253,39,Male,13,Premium,116,100.74,73,9,0.389,2,2,4,3934,0
CUST00254,28,Male,2,Standard,38,50.15,115,5,0.335,2,3,7,4902,1
CUST00255,65,Female,29,Basic,143,14.45,20,7,0.176,0,4,1,3188,0
CUST00256,33,Female,52,Premium,110,79.35,25,10,0.257,1,2,3,1315,0
CUST00257,50,Female,27,Standard,46,98.8,19,6,0.167,5,1,5,3228,1
CUST00258,26,Male,50,Basic,25,71.34,5,7,0.272,0,2,0,571,0
CUST00259,23,Female,23,Standard,21,61.26,75,8,0.481,2,2,3,3255,0
CUST00260,33,Male,44,Basic,121,70.22,128,6,0.395,5,3,3,2471,1
CUST00261,46,Male,22,Standard,122,63.88,72,5,0.328,1,4,8,97,0
CUST00262,20,Female,43,Standard,133,34.56,155,7,0.176,1,3,8,4033,0
CUST00263,37,Male,37,Standard,70,53.56,40,4,0.362,2,3,5,1639,0
CUST00264,53,Male,61,Premium,113,90.64,26,12,0.0,1,4,7,4842,0
CUST00265,36,Male,56,Standard,107,84.65,27,12,0.212,0,3,9,4027,0
CUST00266,43,Male,3,Basic,112,80.04,83,9,0.338,3,4,3,260,1
CUST00267,20,Male,63,Standard,108,45.15,128,7,0.361,0,1,9,935,0
CUST00268,36,Female,19,Premium,47,69.55,178,5,0.35,1,4,7,1797,0
CUST00269,37,Male,23,Basic,91,10.0,170,5,0.294,2,5,2,331,0
CUST00270,49,Female,29,Basic,18,80.35,157,7,0.221,2,4,1,4210,0
CUST00271,24,Female,30,Basic,149,117.87,167,6,0.331,0,4,5,267,0
CUST00272,69,Male,39,Basic,104,30.78,169,7,0.107,3,5,4,2059,0
CUST00273,58,Male,25,Premium,40,57.42,33,9,0.123,2,4,7,72,0
CUST00274,50,Male,8,Standard,138,84.87,97,8,0.259,0,2,0,2921,1
CUST00275,57,Female,58,Basic,89,112.59,111,6,0.276,3,3,9,2453,1
CUST00276,56,Male,16,Standard,61,61.55,16,9,0.0,3,3,2,3888,0
CUST00277,35,Female,1,Basic,5,54.23,23,8,0.318,2,1,6,177,0
CUST00278,57,Male,5,Premium,122,15.93,135,5,0.366,4,1,9,1999,1
CUST00279,18,Female,3,Premium,55,78.1,26,9,0.238,1,5,3,771,0
CUST00280,28,Male,65,Basic,37,136.26,96,6,0.606,2,2,9,945,0
CUST00281,45,Male,4,Premium,56,83.32,12,8,0.148,3,1,4,4495,1
CUST00282,42,Female,64,Standard,102,74.33,72,6,0.196,2,3,7,269,0
CUST00283,67,Female,10,Basic,93,84.66,133,7,0.191,4,1,0,1855,1
CUST00284,40,Male,21,Basic,73,74.67,106,8,0.239,1,1,0,1655,0
CUST00285,48,Female,46,Standard,59,50.61,117,5,0.201,1,4,6,3752,1
CUST00286,47,Female,27,Standard,2,99.7,177,8,0.039,5,1,8,2533,0
CUST00287,59,Female,66,Premium,104,81.77,26,5,0.168,3,5,3,4154,0
CUST00288,52,Female,41,Standard,51,75.53,133,9,0.235,2,3,7,2689,0
CUST00289,24,Male,13,Premium,30,45.74,22,11,0.434,5,5,9,4982,0
CUST00290,33,Male,9,Standard,11,114.11,13,8,0.58,4,5,6,4361,0
CUST00291,43,Male,36,Premium,108,94.94,156,6,0.45,4,2,1,2122,0
CUST00292,65,Female,58,Standard,76,58.41,161,11,0.134,5,4,4,3161,0
CUST00293,69,Female,54,Basic,90,105.05,107,7,0.146,3,5,8,504,1
CUST00294,66,Male,12,Standard,123,60.07,23,10,0.226,3,2,8,2404,0
CUST00295,19,Male,14,Premium,125,51.54,97,8,0.518,1,3,2,2201,0
CUST00296,18,Female,34,Basic,122,52.21,18,9,0.225,5,3,2,3289,0
CUST00297,65,Female,53,Premium,94,21.87,117,7,0.051,8,2,1,4581,0
CUST00298,29,Female,20,Basic,103,89.15,30,7,0.175,0,5,6,1153,0
CUST00299,22,Male,16,Standard,31,20.07,26,12,0.364,2,5,5,4161,0
CUST00300,54,Male,70,Premium,52,38.15,144,3,0.353,0,4,4,2427,0
CUST00301,49,Male,56,Basic,89,12.73,39,6,0.22,0,4,6,1336,0
CUST00302,26,Female,58,Basic,76,72.42,161,9,0.353,2,3,3,406,0
CUST00303,58,Male,4,Standard,129,70.49,154,8,0.0,0,4,4,3478,0
CUST00304,52,Female,4,Premium,22,65.2,176,8,0.266,2,2,8,4044,0
CUST00305,36,Male,20,Basic,40,43.72,166,7,0.379,2,3,8,276,1
CUST00306,65,Female,10,Premium,101,39.83,130,9,0.125,3,5,3,3480,0
CUST00307,33,Female,24,Basic,111,88.93,113,11,0.125,1,3,5,2361,0
CUST00308,20,Female,26,Premium,129,58.48,134,8,0.0,1,1,1,2596,0
CUST00309,37,Male,37,Premium,65,84.49,46,7,0.488,0,3,2,1968,0
CUST00310,41,Male,54,Standard,149,48.44,50,8,0.142,4,4,8,460,1
CUST00311,50,Male,21,Standard,79,80.43,166,15,0.286,1,2,5,2446,1
CUST00312,41,Female,38,Standard,22,114.1,106,14,0.341,1,5,7,3739,0
CUST00313,69,Female,46,Standard,99,92.58,146,10,0.477,2,5,4,1582,0
CUST00314,28,Female,4,Basic,8,62.63,155,6,0.227,0,4,1,3517,0
CUST00315,66,Female,60,Basic,17,82.72,169,13,0.169,2,4,6,4802,0
CUST00316,25,Female,57,Basic,17,67.78,72,4,0.276,2,4,5,4198,0
CUST00317,53,Male,45,Standard,90,75.24,74,4,0.443,2,1,1,2375,0
CUST00318,55,Female,20,Basic,141,65.23,17,7,0.224,0,2,5,2739,0
CUST00319,57,Male,17,Standard,145,70.07,157,10,0.107,4,1,7,971,1
CUST00320,37,Male,71,Premium,81,81.36,70,13,0.019,5,4,0,1325,0
CUST00321,52,Female,4,Basic,78,45.2,150,6,0.067,2,2,3,152,1
CUST00322,65,Male,14,Standard,6,44.52,6,10,0.38,1,4,0,3608,0
CUST00323,42,Male,3,Standard,110,33.34,26,5,0.202,1,2,1,3960,0
CUST00324,52,Female,58,Premium,14,26.99,167,11,0.159,2,5,0,3106,0
CUST00325,42,Male,55,Premium,72,38.48,140,6,0.143,1,1,5,3086,1
CUST00326,46,Female,4,Premium,143,79.78,99,8,0.263,2,4,5,729,1
CUST00327,35,Male,24,Premium,54,48.22,142,4,0.214,3,4,0,3967,1
CUST00328,63,Male,34,Basic,27,90.41,22,8,0.209,2,3,3,4169,0
CUST00329,35,Male,30,Premium,13,76.04,51,9,0.452,2,5,3,4951,1
CUST00330,19,Male,19,Standard,60,15.94,151,11,0.481,1,4,7,4002,1
